자치구코드,법정동코드,자치구명,법정동명,본번,부번,주소,사업자상호
11545,1154510100,금천구,가산동,549,1,"서울특별시 금천구 가산디지털2로 101 222호 일부 (가산동, 한라원앤원타워)",홈런부동산공인중개사사무소
11545,1154510300,금천구,시흥동,852,55,서울특별시 금천구 독산로 123 1층 일부 (시흥동),최고공인중개사사무소
11545,1154510100,금천구,가산동,144,5,"서울특별시 금천구 가산로9길 17 104동 107호 일부(가산동, G밸리노블루체스위트)",아스크타워부동산중개사무소
11545,1154510100,금천구,가산동,345,33,서울특별시 금천구 가산디지털2로 67 103호 (가산동),세븐공인중개사사무소
11545,1154510100,금천구,가산동,219,5,서울특별시 금천구 디지털로10길 78 123호 (가산동),가산테라타워공인중개사사무소
11545,1154510100,금천구,가산동,670,0,"서울특별시 금천구 가산디지털1로 25 101호 일부 (가산동, 대륭테크노타운17차))",퍼스트공인중개사사무소
11545,1154510100,금천구,가산동,549,1,"서울특별시 금천구 가산디지털2로 101 222호 (가산동, 한라원앤원타워)",원앤원공인중개사사무소
11545,1154510200,금천구,독산동,1093,4,"서울특별시 금천구 한내로 62 상가동 1층 1050호독산동, 한신아파트)",한신단지내공인중개사사무소
11545,1154510200,금천구,독산동,200,11,서울특별시 금천구 시흥대로124길 34 101호 (독산동),신화공인중개사사무소
11545,1154510100,금천구,가산동,345,19,서울특별시 금천구 가산디지털1로 75-15 105호 (가산동),와이즈공인중개사사무소
11545,1154510100,금천구,가산동,535,55,서울특별시 금천구 가산디지털2로 169-37 B동 102호 (가산동),유미어스공인중개사사무소
11545,1154510100,금천구,가산동,143,1,서울특별시 금천구 가산로 145-1 (가산동),스마트부동산공인중개사사무소
11545,1154510100,금천구,가산동,60,73,서울특별시 금천구 벚꽃로 244 110호 일부 (가산동),가산랜드부동산중개사무소
11545,1154510200,금천구,독산동,1009,83,서울특별시 금천구 시흥대로 339 2호 1층 일부(독산동),드림공인중개사사무소
11545,1154510100,금천구,가산동,554,2,"서울특별시 금천구 가산디지털2로 43-14 108호 (가산동, 가산한화비즈메트로2차)",아이엠부동산중개
11545,1154510100,금천구,가산동,371,41,서울특별시 금천구 가산디지털1로 171 127호 (가산동),SK한솔공인중개사사무소
11545,1154510300,금천구,시흥동,1013,0,"서울특별시 금천구 금하로 816 상가1동 105-2호 (시흥동, 벽산아파트)",행복공인중개사사무소
11545,1154510100,금천구,가산동,371,59,서울특별시 금천구 가산디지털1로 149 304호 일부 (가산동),뱅커스공인중개사사무소
